tcp_variant,txpackets,rxpackets,throughput,meandelay,packetloss
ns3::TcpVegas,2,3,3,0.0001344,0.371169,0
ns3::TcpVegas,3,409,408,0.021456,0.000935104,0.244499
ns3::TcpVegas,4,419,418,0.024392,0.00100932,0.238663
ns3::TcpVegas,5,2175,2175,0.0904832,0.000533063,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00992525,0
ns3::TcpVegas,7,792,792,0.947948,0.172787,0
ns3::TcpVegas,8,799,799,0.944302,0.173083,0
ns3::TcpVegas,1,6986,6979,3.28207,0.0457284,0.1002
ns3::TcpVegas,2,3,3,0.0001344,0.354163,0
ns3::TcpVegas,3,360,359,0.0157776,0.000698827,0.277778
ns3::TcpVegas,4,491,490,0.0209472,0.00106119,0.203666
ns3::TcpVegas,5,3490,3490,0.145187,0.000462808,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00225004,0
ns3::TcpVegas,7,709,709,0.85272,0.0912299,0
ns3::TcpVegas,8,1004,974,1.17513,0.0948429,2.98805
ns3::TcpVegas,1,9332,9332,4.38821,0.0480582,0
ns3::TcpVegas,2,3,3,0.0001344,0.353578,0
ns3::TcpVegas,3,395,394,0.0183536,0.000435373,0.253165
ns3::TcpVegas,4,449,448,0.0234,0.000607824,0.222717
ns3::TcpVegas,5,4667,4667,0.19415,0.000516177,0
ns3::TcpVegas,6,3,3,9.6e-05,0.0023357,0
ns3::TcpVegas,7,774,774,0.928022,0.103945,0
ns3::TcpVegas,8,872,872,1.03963,0.0978657,0
ns3::TcpVegas,1,9332,9332,4.38821,0.0220925,0
ns3::TcpVegas,2,3,3,0.0001344,0.341121,0
ns3::TcpVegas,3,727,726,0.0327248,0.000378974,0.137552
ns3::TcpVegas,4,372,371,0.0190768,0.000474428,0.268817
ns3::TcpVegas,5,4667,4667,0.19415,0.000327384,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00481789,0
ns3::TcpVegas,7,1436,1436,1.72787,0.0347879,0
ns3::TcpVegas,8,723,723,0.862053,0.0491345,0
ns3::TcpVegas,1,9332,9332,4.38821,0.0203994,0
ns3::TcpVegas,2,3,3,0.0001344,0.340221,0
ns3::TcpVegas,3,402,401,0.0169648,0.000366661,0.248756
ns3::TcpVegas,4,398,397,0.0209984,0.000339741,0.251256
ns3::TcpVegas,5,4667,4667,0.19415,0.000244881,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00128336,0
ns3::TcpVegas,7,797,797,0.960942,0.0355691,0
ns3::TcpVegas,8,769,769,0.915832,0.0404893,0
ns3::TcpVegas,1,9332,9332,4.38821,0.0169196,0
ns3::TcpVegas,2,3,3,0.0001344,0.33833,0
ns3::TcpVegas,3,404,403,0.018448,0.000275025,0.247525
ns3::TcpVegas,4,386,385,0.0190992,0.000286096,0.259067
